title,url,price,log_price,brand,cpu_family,ram_gb,storage_gb,outlier_flag
"HP 15-fr0071TU Core i7 13th Gen 13620H 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15-fr0071tu-core-i7-13620h-laptop,95000,11.461632170582678,HP,Intel,16,512,FALSE
"HP 15-fr0077TU Core i5 13th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15-fr0077tu-laptop,78000,11.26446410567173,HP,Intel,16,512,FALSE
"HP 15-fd0841TU Core i3 13th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15-fd0841tu-laptop,55000,10.915088464214607,HP,Intel,8,512,FALSE
"HP 15-fd0275TU Core i3 13th Gen 15.6"" TN 250nits FHD Laptop",https://www.startech.com.bd/hp-15-fd0275tu-core-i3-laptop,56500,10.941995917134532,HP,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 14IRH10 Core i5 13th Gen 14"" IPS Laptop With Backlit Keyboard",https://www.startech.com.bd/lenovo-ideapad-slim-3-14irh10-core-i5-laptop,79000,11.27720313144916,Lenovo,Intel,16,512,FALSE
"HP 15-fr0065TU Core i5 13th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15-fr0065tu-laptop,78000,11.26446410567173,HP,Intel,16,512,FALSE
"HP 15-fd0807TU Intel Core i3 13th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15-fd0807TU-core-i3-13th-gen-laptop,56500,10.941995917134532,HP,Intel,8,512,FALSE
"HP 15-fd0807TU Intel Core i3 13th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15-fd0807TU-core-i3-13th-gen-laptop,56500,10.941995917134532,HP,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 14IRH10 Core i5 13th Gen 1TB SSD 14"" WUXGA Laptop With FreeDOS",https://www.startech.com.bd/lenovo-ideapad-slim-3-14irh10-1tb-ssd-laptop-with-freedos,82000,11.314474526246391,Lenovo,Intel,16,1024,FALSE
"Lenovo IdeaPad Slim 3 14IRH10 Core i5 13th Gen 14"" WUXGA Laptop With FreeDOS",https://www.startech.com.bd/lenovo-ideapad-slim-3-14irh10-laptop-with-freedos,77500,11.258033215341438,Lenovo,Intel,16,512,FALSE
"Lenovo IdeaPad Slim 3 15IRH10 Core i5 13th Gen 1TB SSD 15.3"" WUXGA Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3-15irh10-1tb-ssd-laptop,82000,11.314474526246391,Lenovo,Intel,16,1024,FALSE
"Smart Flairedge Core i5 13th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/smart-flairedge-core-i5-13th-gen-laptop,51000,10.839580911706463,Smart,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 15IRH10 Core i5 13th Gen 15.3"" WUXGA Laptop With FreeDOS",https://www.startech.com.bd/lenovo-ideapad-slim-3-15irh10-laptop-with-freedos,77500,11.258033215341438,Lenovo,Intel,16,512,FALSE
"Lenovo IdeaPad Slim 3 15IRH10 Core i5 13th Gen 24GB DDR5 RAM 15.3"" WUXGA Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3-15irh10-24gb-ram-laptop,80000,11.289781913656018,Lenovo,Intel,4,512,FALSE
"Acer Aspire Lite AL15-41 AMD Ryzen 5 7430U 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-lite-al15-41-ryzen-5-laptop,56000,10.933106969717286,Acer,AMD,16,512,FALSE
"Lenovo IdeaPad Slim 3i 15IRH8 Core i5 13th Gen 15.6"" FHD Backlit Keyboard Military Grade Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-15irh8-core-i5-13th-gen-laptop,70500,11.16336798880036,Lenovo,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3i 15IRH8 Core i5 13th Gen 15.6"" FHD Military Grade Laptop With Windows 11",https://www.startech.com.bd/lenovo-ideapad-slim-3i-15irh8-laptop-with-windows-11,71500,11.177452728682098,Lenovo,Intel,8,512,FALSE
